username,visited,nomadlist_recommends
@enricop89,"['Lecce,  Italy', 'Bangkok,  Thailand', 'Ko Tao,  Thailand', 'Ko Pha Ngan,  Thailand', 'Bangkok,  Thailand', 'Lecce,  Italy', 'London,  United Kingdom', 'Lecce,  Italy', 'London,  United Kingdom', 'Lecce,  Italy', 'London,  United Kingdom', 'Lecce,  Italy', 'London,  United Kingdom', 'Lecce,  Italy', 'Tel Aviv,  Israel', 'London,  United Kingdom']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@lukassiim,"['Porto,  Portugal', 'Alanya,  Turkey', 'Fuengirola,  Spain', 'Amsterdam,  Netherlands', 'London,  United Kingdom', 'Dubai,  United Arab Emirates', 'Ubud, Bali,  Indonesia']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@yogevb,"['Medellín,  Colombia', 'Madrid,  Spain', 'Tel Aviv,  Israel', 'Ko Pha Ngan,  Thailand', 'Munich,  Germany']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Buenos  Aires, Argentina', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany']"
@mikebrown,"['Bangkok,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@mrmojo,"['Atlanta, GA,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@lisakf,"['Philadelphia, PA,  United States', 'Taipei,  Taiwan', 'Ho Chi Minh City,  Vietnam', 'Seoul,  South Korea', 'Philadelphia, PA,  United States', 'San Francisco, CA,  United States', 'Philadelphia, PA,  United States', 'Larnaca,  Cyprus', 'London,  United Kingdom', 'Mexico City,  Mexico', 'Playa del Carmen,  Mexico', 'Mexico City,  Mexico', 'Philadelphia, PA,  United States', 'Salzburg,  Austria', 'Liverpool,  United Kingdom', 'London,  United Kingdom']","['Chiang  Mai, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Canggu, Indonesia', 'Athens, Greece', 'Tokyo, Japan']"
@gustavgrutzik,"['Buenos Aires,  Argentina', 'San Francisco, CA,  United States', 'Seattle, WA,  United States']","['Bangkok, Thailand', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Berlin, Germany', 'Amsterdam, Netherlands']"
@culturebobbin,"['Playa del Carmen,  Mexico', 'Houston, TX,  United States', 'Istanbul,  Turkey', 'Plovdiv,  Bulgaria', 'Paris,  France', 'Krumlov House,  Czechia', 'Prague,  Czechia', 'San Francisco, CA,  United States']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Amsterdam, Netherlands']"
@quentintin,"['Paris,  France', 'Lisbon,  Portugal', 'Athens,  Greece', 'Paris,  France', 'Colombo,  Sri Lanka', 'Cancun,  Mexico']","['Bangkok, Thailand', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@cswidmaier,"['Konstanz,  Germany', 'Manhattan Beach,  United States', 'Monterrey,  Mexico', 'Split,  Croatia', 'Zagreb,  Croatia', 'Rio de Janeiro,  Brazil', 'Munich,  Germany', 'Berlin,  Germany']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Budapest, Hungary', 'Prague, Czechia', 'Amsterdam, Netherlands']"
